Reviews,Dates
"Easy to use,clean and temperature control",24 December 2019
Worthy. Safe. Easy.. Reliable. Timer& seperate functions awesome.,23 December 2019
IT IS AWESOME,23 December 2019
Fan not running exchange product,23 December 2019
Prestige service is not good.,22 December 2019
Modern induction stove. I use it for small cooking purposes only. It works like charm.,22 December 2019
Everything is 0 worst they ll not allow to exchange the pdt even there is warranty worst,21 December 2019
This product damagePlease refund my amount,21 December 2019
Like you,20 December 2019
Product is short circuited in just 2months... Life spane is very poor... Due to short circuit my house line disconnected.,20 December 2019
Not saticefye,18 December 2019
The rooftop works only with still vessels which is not mentioned on Amazon website as well as product descriptions.I faced loss of money as I own all aluminium vessels and this product is good for nothing$It feels like Amazon and seller have cheated me!I will never recommend this seller to anyone's in future!,18 December 2019
Prestige product 👍 the best product,18 December 2019
Good,18 December 2019
The worst product I got from Amazon. I never thought such a faulty product they r going to dispatch to me. Packing & everything was good. But when I started cooking inside from this some tok tok sound was coming... I took it prestige service centre. Okey here technician checked. When I return to my room again it's started it's same activity. Now the induction is not producing heat. Most important as I crossed across 10 days return period now I can't return it to Amazon. I was supposed to by from flipcart. But in Amazon the same product I got 200 of  so I took from Amazon... Now m getting why they put 200 off.... Just falto... Amazon... U guys r playing with customer money...,18 December 2019
Good,17 December 2019
"There is one problem i am facing after a month which the sound of the fan inside ,which seems like something is constantly in contact with it  and is making an unwanted sound .",17 December 2019
good,17 December 2019
Very good product but premenu temperature set is not upto the mark but value for money product,17 December 2019
This is a good product and has been working fine since I bought it .,17 December 2019
Nice,17 December 2019
Good quality,16 December 2019
Best quality,16 December 2019
Like,16 December 2019
Good product,16 December 2019
Using only two month circuit board damaged,16 December 2019
Good,15 December 2019
Will not work in pan or coated one don't buy this,15 December 2019
Good,15 December 2019
Superb,14 December 2019
Good product,14 December 2019
Very nice product.,13 December 2019
"Nice product , easy and convenient to use. It comes with temperature control, so after use easy to clean. At affordable price.",13 December 2019
It's easy to use.  Good product at this rate.  Working fine.,13 December 2019
"Not as expected.. Literally I have to wait for  1 minute for fan to be stopped to switch off the main switch. The first delivery was not on time. The delivery time was specified but still did not delivered on mention date. So,  I had to cancel the first delivery.Need to have some more option..",13 December 2019
nothing,13 December 2019
Good product,12 December 2019
baught in 2016 still using it ..very good experience,11 December 2019
Easy to use,11 December 2019
Ya...... it's a nice....,11 December 2019
Good product,11 December 2019
Easy to use,10 December 2019
After receiving the product I made tea after that when I want to do chapathi the panel is not getting heat and the error showing in induction is E 0.What to do suggest me,10 December 2019
Good,10 December 2019
Super,10 December 2019
Useful,10 December 2019
Nice product but 6 months after some sound has increased other wise good,10 December 2019
it is very good . it is very good ......,9 December 2019
Iam writing review after 3 months using the product best product in the price,9 December 2019
Nice 👌👌👌👌,9 December 2019
overall satisfectory,9 December 2019
I think little high electricity consumption,9 December 2019
Like,9 December 2019
Perfect and amazing product,9 December 2019
All good,8 December 2019
I brought it ... But the ic is failure.. how can i get warranty to my product,8 December 2019
I like this product,8 December 2019
Excellent product ... Happy with the product,7 December 2019
Nice products,7 December 2019
Good for bachelors. Easy to use,7 December 2019
Good.,7 December 2019
Well product,7 December 2019
The best part is the design and various types of functions provided for temperature control.Very easy to use  and reduces cooking time.,7 December 2019
Wonderful product,6 December 2019
Good,6 December 2019
Great for getting things done quick. However I won’t suggest this for a family. Great for the office pantry / bachelors crib.,6 December 2019
Till now it’s working nicely,6 December 2019
"Excellent product, I buy it but found some sound inside it, like some part remove inside, after that I returned it & got good one.Thank you Amazon & PLS bazaar also for easy return",5 December 2019
Good product,4 December 2019
Good product,4 December 2019
Serves the purpose and is a good value for money.. easy to clean and maintain with wet cloth,4 December 2019
Pathetic product. Not even 2 moths old. No display. Calling customer service twice a day but no reply... Don't go for this product..,3 December 2019
Worst product. Burnt in the very first run. Spoiled the home electricals as well. I think that a refurbished one not a new one. Prestige lost ots prestigeous name for me. Never gonna buy a prestige product.,2 December 2019
Very good,2 December 2019
It's a good productI never seen in my life,1 December 2019
Nice,1 December 2019
It was crack and it makes noisy so please dont but this product,1 December 2019
it got crack with in 2 months...but given 1 year warranty,30 November 2019
Good,30 November 2019
"Pathetic product, got faulty in just 9 months and now struggling with warranty repair",30 November 2019
It was always showing E6 error,30 November 2019
Good,30 November 2019
Good,29 November 2019
Prestige PIC  Induction Cooktop was looking good and easy to use similarly Amazon service was good,29 November 2019
Ordered my 2nd product at 11pm and was delivered by 66.30 am..... Isn't that amazing !!! It's a great product. Had no troubles at all until lots of water accidentally drowned this amazing product. But happy got it so early.,29 November 2019
It's not troubled me so far,28 November 2019
This item is dad,28 November 2019
Good,28 November 2019
"Totally disappointed switch button is not working, after use of 8days. I want to replace or servicing for induction button .",27 November 2019
light wait & very nice,27 November 2019
The device is not working at all.  It is showing error E06. It got defected within warranty period of 1 year. Even I am unable to repair it as I purchased online.  I am not satisfied with the performance of this product.,27 November 2019
Good to use,27 November 2019
Faulty product,27 November 2019
A good product with efficient power consumption.,27 November 2019
Got the product on 31st Oct 2019 . Within 25 days on 26th Nov 2019 there is a burst inside induction stove and stove stopped working and not powering on after that. Very bad experience since dangerous fire spark came out while burst when a person nearby .So after above mentioned IC burst failure service done with prestige they replaced the IC and repaired it. but then again same kind of burst re occurred within next 30 days with even more big burst sound and flame now again stove is with service . center. Worst product went for the brand name prestige really disappointed with a defective product design.NOT SUGGESTING FOR OTHERS.,26 November 2019
I want to claim my warranty. I have just used one month only and now it's not working....,26 November 2019
It's a defective products which is not working.,26 November 2019
Great ProductEasy to use,26 November 2019
Wonderful product just go for it.easy to use push button,25 November 2019
Good products,25 November 2019
Very nice product.. almost 3 years completed...still good condition...,24 November 2019
It's not working,24 November 2019
"its not working, it stopped working beforwe one month",24 November 2019
Wow,24 November 2019
Temperature sensor not works. It is worth of money.,24 November 2019
Nice,23 November 2019
Very good,23 November 2019
Super,23 November 2019
Short circuit has happened. Out of order,23 November 2019
Worst product. Within month it's pannel cracking due to heat. And they are telling it is not cover under warranty.,23 November 2019
I like,23 November 2019
Super,22 November 2019
worth buying you can trust this product i m using it from 6 months without any problem,21 November 2019
Good,21 November 2019
It's good,21 November 2019
Good very nice product cooking is very safety I am happy,21 November 2019
Good,21 November 2019
Waste prodect purchase ofter two weeks this prodect not working so buyers don't purchase amezon,21 November 2019
Worst,21 November 2019
Easy and convenient to use,21 November 2019
Very good,20 November 2019
Easy stove,20 November 2019
Wonderful ☺️👍👍👌!!!,20 November 2019
Good product,20 November 2019
Value for money,20 November 2019
"Nice product, easy to use",20 November 2019
Super,20 November 2019
Not good experience.,20 November 2019
"The plate,  induction stove has on top, was broken when I received it.",19 November 2019
Nice,19 November 2019
Very useful product,19 November 2019
This is literally awesome. I don't have bought induction like this never before,19 November 2019
Like it,19 November 2019
i like it,19 November 2019
Product very poor quality and today burn.,19 November 2019
Not bad,18 November 2019
best product,18 November 2019
Easy to use & works well when no LPG :-),18 November 2019
Happy with this purchase,18 November 2019
good for this price,18 November 2019
Overall good.,18 November 2019
Stopped working in 2 months,18 November 2019
Good,17 November 2019
Good,17 November 2019
It's a good product when I order this first time it was totally broken but this time it's good so this is a good product is a good product and it work properly this is a perfect product for cooking and it is easy to use,17 November 2019
NIce product and experiance with prestige.,17 November 2019
It is nice and in affordable price.,16 November 2019
This price good product,16 November 2019
Really disappointed with the service. Got a defected piece with E2 ERROR.Such a disappointment Amazon service,15 November 2019
Nice product,15 November 2019
Nice product,15 November 2019
Very much user friendly.,15 November 2019
Very good and very useful product,15 November 2019
"My induction is not getting on,,, it is not working at all,,,, don't cheat with customer as soon as possible change my induction otherwise I'll take strict action against amazon",15 November 2019
Material quality not bad but not a very good,15 November 2019
Not so good.Some screw is loose inside and it sound everytime when induction is move.,15 November 2019
its very easy to use & manage the temperature control,15 November 2019
Horrible product ... Damage product has been given..,15 November 2019
Very bad experience it stopped working after 6 months please dont buy it,14 November 2019
Easy to use.,14 November 2019
Good Quality Product,14 November 2019
Good,14 November 2019
It didn't work...I ordered 2 times...waste of time,14 November 2019
Its very good.,14 November 2019
Very good,13 November 2019
Nice product,13 November 2019
Great product. thanks,13 November 2019
Good,13 November 2019
Good,13 November 2019
Good use,13 November 2019
"It's a faulty product given.Wanted to be using it very rarely, opened after a month to operate and it's not working.",13 November 2019
Good,13 November 2019
Nice product,12 November 2019
great job,12 November 2019
Best product to use for cooking,12 November 2019
Mast,12 November 2019
Nice,12 November 2019
Good but main switch bad quality,12 November 2019
Good product,12 November 2019
Great product for home use and for hostlers. Have been using one for last 2 years. Works very well . Have ordered a second one!,12 November 2019
Great purchase....,12 November 2019
good product,11 November 2019
Good,11 November 2019
Worth the money....,11 November 2019
Mind blowing,11 November 2019
Nice,11 November 2019
Good  worth of money product.Easy cooking with multiple options,11 November 2019
"Best product, easy to use, fast.delivery",11 November 2019
Nice product easy to use.,10 November 2019
Easy to use.,10 November 2019
Easy to use,10 November 2019
Just few days yet to review after a month.,10 November 2019
Arrived very fast ...easy to use and clean ...very good product in such a low price...love it❣❣❣,10 November 2019
Good,10 November 2019
Good for simple cooking,10 November 2019
Good product,10 November 2019
Useful,10 November 2019
Nice product and easy to use.best option for single person.,10 November 2019
Its a cool product and not an issue yet since last 2 months,10 November 2019
Good,9 November 2019
Ok,9 November 2019
Never worked,9 November 2019
"Good good good. Value for money. If you don't bother about fancier look, then just go for this one. Because it clearly serves the purpose and lest price. Also works absolutely fine. Long durable",9 November 2019
Owesom product,9 November 2019
easy to use....,9 November 2019
After 15 days completely shut down and not working anymore.,9 November 2019
Started giving troubles after 3 months. Its IC is always burnt and no prestige service centres are available.Poor customer service.,9 November 2019
Nice one product,9 November 2019
Good,8 November 2019
"Easy using , gud items",8 November 2019
Good product,8 November 2019
Ok,8 November 2019
"Bought it on 30th sep 2019, and it’s just a little over a month and the machine Is not working .....I want a refund for the same.",8 November 2019
Good,8 November 2019
Defective,8 November 2019
Good,8 November 2019
It’s good product 👆👌👍,8 November 2019
Very poor product damage pice or to abhi tak replacement nhi hua very poor service 😈😈,8 November 2019
Super,8 November 2019
Excellent,8 November 2019
Perfect packing and delivery with 14 hrs.  Good product use it.,7 November 2019
Slow speed,7 November 2019
Nice product,7 November 2019
Its good product but non veg dish not cooked  well,7 November 2019
Nice product,7 November 2019
A satisfying product N easy to use,7 November 2019
good,6 November 2019
Na,6 November 2019
Not bad,6 November 2019
"Stopped working, just after a month..",6 November 2019
User friendly producted with prestige brand tested over years.,6 November 2019
Nice,6 November 2019
Bad,6 November 2019
Too good,6 November 2019
Nice,6 November 2019
No complaints till now,6 November 2019
Nice super,6 November 2019
Old stock,6 November 2019
"The basic functionality is OK but overall the system needs some improvements.1) When switched ON the device starts with maximum wattage consumption, which is simply not advisable for any electrical device. The systems should always start with minimum wattage and then the user can increase the temperature to the desired levels, as per the cooking specs2) The various buttons assigned with the various cooking options must also specify the temperature range beside the buttons.3) The digital display panel is so soft and vulnerable even to a sharp object like human nails. The panel needs a sturdy protection either with glass or some sort of hard transparent plastic.",6 November 2019
Nice,6 November 2019
Jji,6 November 2019
Offer price is too good,6 November 2019
Super product,6 November 2019
Ok with product.,6 November 2019
Heighly recommended to buy,6 November 2019
Ok,6 November 2019
NICE PRODUCT & GOOD SERVICE OF AMAZON,6 November 2019
Vgood,6 November 2019
Very bad delivery,6 November 2019
Worth product,5 November 2019
Nice product,5 November 2019
Best..👍,5 November 2019
Good product.Using it for more than year.,5 November 2019
Wrost. Within one week stop working.,5 November 2019
Good product,5 November 2019
It is a good product and easy to use.,5 November 2019
Not heating.. waste product,5 November 2019
Fulfilled the expectation,5 November 2019
Good,5 November 2019
Bad,5 November 2019
Good,5 November 2019
Review after 3 months of usage. Good product for hostel use. I use it weekly and no complaints till now.,5 November 2019
Worst product. On button stopped working after 6 days.,5 November 2019
I like its temperature control and it is also easy to use and clean.,5 November 2019
Wastage,5 November 2019
Product is same as described.Good one,5 November 2019
Super,4 November 2019
Good quality,4 November 2019
Cheap quality,4 November 2019
Good,4 November 2019
Satisfied,4 November 2019
Kam Chala o hai,4 November 2019
"Of course, it is easy to use. Even if u r the first timer, u should go for it.Must buy. Thank You",4 November 2019
Good quality,4 November 2019
Good one,4 November 2019
Please don't buy. Stopped working after 10 days. i cannot even return it since the return window was for 8 days.,4 November 2019
This induction is not working ....i ve found an error showing in it ....worst product...,4 November 2019
Heating wise no issues. Panel plastic quality not upto the mark. Switch buttons are little hard.,4 November 2019
Nice,4 November 2019
easy to use,4 November 2019
Not so good,4 November 2019
I had purchased it in September and it is not working.... waste of money....,4 November 2019
"Super and Super thanks Amazon,Price should be less",4 November 2019
Very well designed,3 November 2019
good product,3 November 2019
All are ok.. but the product package was opened by courier boy before delivery... Am totally disappointed with Amazon,3 November 2019
Good,3 November 2019
Nice product,3 November 2019
Easy to use and  but screen light atometically damaged within 6 month,3 November 2019
Everything works perfectly If you have the correct utensils to use,3 November 2019
Superb value for money,3 November 2019
"At this price, this literally is the best available induction. Easy to use, with timer facility, and added functionality of boiling milk and keeping food warm, value for money overall, great utility level.",3 November 2019
Value for money,3 November 2019
o'sum product at its price,3 November 2019
Good,3 November 2019
Great product for the price. Perfect for a single person,3 November 2019
Like,3 November 2019
I want replacement for this product. It stopped working only after 10-12 uses.,3 November 2019
Not working... Showing E2 error,3 November 2019
Just for ok not bad,2 November 2019
Came on time n easy to use ... love the product,2 November 2019
It's a very nice product,2 November 2019
It stopped working after 3 uses only.dont buy this product,2 November 2019
Decent,2 November 2019
Good product loved it,2 November 2019
It didn't work. So I decided to return it and mentioned but no response. Please collect your item. It's waste of money. Our family members scold me so please collect it.,2 November 2019
Good,2 November 2019
Best product,2 November 2019
Good,2 November 2019
Product is Very good condition.packing also too good. Easy Delivery.thank to Amazon,2 November 2019
Its good but not up to the mark,1 November 2019
Good product...,1 November 2019
Induction quality is super good,1 November 2019
the product is very good and very useful  and a using same product same time,1 November 2019
Easy to use.,1 November 2019
Too good,1 November 2019
just amazing,1 November 2019
Display not working properly,31 October 2019
Good,31 October 2019
Good experience..,31 October 2019
Lost of money,31 October 2019
Loved this product,31 October 2019
Amazing product,31 October 2019
Not bad,31 October 2019
Hamen yah indection bahut hi Pasand Aaya Ham isase satisfied hai,31 October 2019
Waste of money...damage product not working,30 October 2019
"Easy to use, light weight, light duty induction heater.",30 October 2019
Nice,30 October 2019
do not hesitate to buy this i bought this 2yrs ago and still it is working at its best ... this is perfect worth of money,30 October 2019
👌👌👌👌👌👌👌,30 October 2019
Ok,30 October 2019
It's a good product. I had got a feedback from a friend about this product... good for daily use and as a substitute to gas cylinder for a big family,29 October 2019
Great product giving review after almost 2 year purchased in 2018 no problem occur till date fabulous,29 October 2019
Good,29 October 2019
Not working,29 October 2019
To heat  5 litres of water .the stove is not accepting the sliver vessal.fan is not working.E6 error is showing after 1 minute.,29 October 2019
Not,29 October 2019
"Best product in low price, only India's  prestige Ltd. have power saving  technology in induction cooktop. Good Job.. Friends, you can use only steel amd non stick cookware not other metal. Thanks Prestige.",29 October 2019
Good product by prestige,29 October 2019
Good product,29 October 2019
I m very much satisfied with product... Cooking modes made it very easy to use.. good deal @1570/-,29 October 2019
Good Product,29 October 2019
Well but i think as per the prkce the product is not up to that mark..,28 October 2019
Fantastic product for kitchen.,28 October 2019
Very nice,28 October 2019
The product is very good at this price with various indian menu options and good power efficiency,28 October 2019
IT'S GOOD AND EASY TO USE,28 October 2019
Good experience,28 October 2019
Good product..,28 October 2019
"M using it from last one year. It is good for tea, boiling milk and rice, and cooking. But not suitable for chapati.",28 October 2019
Easy to use.. u can purchase without any hesitation,27 October 2019
Not working after using 15 day s,27 October 2019
Best,27 October 2019
It's good quality material and easy to use as well as with good button control options,27 October 2019
Nice product 😀,27 October 2019
"This induction is not working. I want to return it. Kindly advise, how do I return this product?",27 October 2019
"Electrical MCB shutting down within use of 1 week, didn't expected from prestige product.",27 October 2019
Very fast heat and easy usefull,27 October 2019
Nice,26 October 2019
Good to. Control,26 October 2019
Good style,26 October 2019
Good product,26 October 2019
"Very quick heating, even heat milk is out of control",26 October 2019
Nice superb qlty,26 October 2019
Product dead within 1 month of use,26 October 2019
Good product 1200 watt but bajaj is more powerful than this and prestiege saves power,26 October 2019
"Not working after 15 days of purchase. Internal wiring got short, whenever plugged with house switchboard MCB is getting tripped.",26 October 2019
Awsm product,26 October 2019
Good product,26 October 2019
It got repaired in few days.. now it's working fine,26 October 2019
ok,26 October 2019
Great,26 October 2019
"Light weight ,easy to control & clean.",25 October 2019
Nice,25 October 2019
It's easy to use,25 October 2019
"I m using induction from more than 6 months, not even a single problem happen till the date, excellent, working well.",25 October 2019
Very nice product.,25 October 2019
GOT DEFECTED AFTER 1 YEARBUT STILL GOOD PRODUCTTO BUY & USE IT,24 October 2019
The top surface is totally broken,24 October 2019
It was broken.,24 October 2019
I received damaged product when i plugged in power of my home went down.I called customer care and i received electrician number.They came and repaired it.Now its functions good.,24 October 2019
Nice,24 October 2019
It's a very good product,24 October 2019
"Although better products are available in the market in plenty, I rank this item extremely good from the point of view of economy. This has become a part of our daily life.",23 October 2019
Good,22 October 2019
Amazing product,22 October 2019
Automatic smart induction cook top.buttons are good to press. Its good item with brand.,22 October 2019
Heating is fast and cooked food so easy with temperature controls,22 October 2019
Within a month it has started giving trouble.,22 October 2019
Excellent,22 October 2019
Good,22 October 2019
Temperature control has little bit problem. Other is ok.,22 October 2019
Good one,21 October 2019
Good quality,21 October 2019
good quality. go for it.,21 October 2019
"I got a damage item, it not working . I don't want to give any star but without giving any star it should not accept my review.",21 October 2019
Body plastic quality low and coil smell using 30 minutes continusly  totally waste of money,21 October 2019
Nice product. Affordable price,20 October 2019
"I bought an item on September 27th and it was not working properly.... So replaced the item on Sept 29th.Today Oct 20th, sparks came out of the induction stove and it tripped my entire shop connection circuit. Do not buy this item.... It might be from any seller.",20 October 2019
Fake fake fake... Within a month it stopped working  ...worst product.  Can't even return after a month.. Waste of money,20 October 2019
"In short words, this product is mostly useful for all of us.",20 October 2019
Good,20 October 2019
"I just wrote how good the product...but then.. I wanted to use it again, first for 2 minutes it worked and then suddenly it stopped.  First it looked like power cut.  But there was no power cut..the product was dead.....2 times it worked... Then finished... after one hour I tried again, as I tried all the outlets... Nothing I could do could change the cooking device!!",20 October 2019
gud product,20 October 2019
Good product,20 October 2019
"Very fast heating,tempra.. Controll very easy.",20 October 2019
Not bad,20 October 2019
Good,19 October 2019
👍,19 October 2019
Easy to use,19 October 2019
Good one,19 October 2019
"Superb product,,,Recommend",19 October 2019
It was completely broken. I just opened it.,19 October 2019
"Durable,easy to use and safe!",19 October 2019
This Product came to me which is not showing numbers and also not heating anything.,19 October 2019
nice product,19 October 2019
Mostly helpful for working Womens,19 October 2019
Good product!,19 October 2019
Nice product,18 October 2019
Nice  products. Easy to use loved it,18 October 2019
Warranty service is very bad,18 October 2019
Not good. Plate is damaged,18 October 2019
Easy to operate,18 October 2019
Nice product....,18 October 2019
Ok,18 October 2019
Nice,18 October 2019
Nice one and it came mentioned Time,18 October 2019
Good results,18 October 2019
Superb and easy to use,18 October 2019
Nice Product using it from last 10 months ....,18 October 2019
Nice one,18 October 2019
Don't buy it... after 2 days stop working...,18 October 2019
"Totally disappointed, the function buttons are not working only except pressure cooker. So not happy at all. Seems the product not checked before delivery or it might be taken from damaged stock. Please ensure to exchange or replace the product on urgent basis. Since the product is defective.Please ensure to replace urgently since warranty period is one year from purchase date. Thank you.",18 October 2019
"Nice product, decent pricing, useful",18 October 2019
Good for cook,18 October 2019
Works good as an induction cooktop.Hard to manipulate cooking though,18 October 2019
Using since an year. Working precisely. Go for it without too much thinking,18 October 2019
Stopped working after 3 months,18 October 2019
Good,17 October 2019
good,17 October 2019
Good,17 October 2019
Just few days and it starts getting melt due to high temperature.I want to replace it. Kindly do needfull.,17 October 2019
Product is good but the delivery day is monday guaranteed but they can't call and skip the delivery to tuesday...,17 October 2019
Dislike :- 1. Puss button some time  properly not working.  2. Hard press puss button than work.  3. Power cable not good quality.,16 October 2019
Glass top broken. Requested for replacement.,15 October 2019
Best products,15 October 2019
Nice item.,15 October 2019
Nice product,15 October 2019
Very nice product,15 October 2019
Product is not working after 2 weeks,14 October 2019
Very easy use and better for energy save,14 October 2019
Easy and effective cooking,14 October 2019
Good product,14 October 2019
Not good enough quality,14 October 2019
Good product low power cusmbsion,13 October 2019
Very very great product,13 October 2019
Better,13 October 2019
Good product you can purchase it and also easy to operate..,13 October 2019
"Awesome Induction under ₹2000, I got in ₹1675. Thank You so much Pretige for providing me this Excellent Product and Amazon also for fast delivery. 😍😍😍😍☺️☺️☺️",12 October 2019
"Great product, Product is very light weight and can carry easily. Temperature control is amazing,  within seconds heats the utensils for cooking... Just loved it.....",12 October 2019
We are using it for last 3 years without any issue,12 October 2019
Superceasy to handle,12 October 2019
It's best,12 October 2019
Very nice product,12 October 2019
"Temperature control, on/off switch is not working, we need to switch off the main switch. It is dangerous, everything will burn off.",12 October 2019
Liked the product and it's easy to use,12 October 2019
Good,11 October 2019
The product's pcb got spoit 3 times till now. Every month I take it to service centre.,11 October 2019
I m using since one week. No complain so far.,11 October 2019
Return karbo,11 October 2019
Good product,11 October 2019
1200 Watt is enough.,11 October 2019
"I am not satisfied with this induction top as it is not even working. I am trying to contact amazon but they are not even trying to help me with it,i will give a minus rating for this product. Sending me a faulty piece.",11 October 2019
Product is almost good ..but very Bad packing from Amazon ..,11 October 2019
Nice this is my 2nd purchase since 4 years am using,11 October 2019
Good working condition,10 October 2019
Very bed experience delivered  damaged product,10 October 2019
Excellent,10 October 2019
Never buy ....i got the product which is not working and it was broken .....waste of money ...and they did not replace ...,10 October 2019
Very  nice  product  i love it,10 October 2019
Problem within 10 days,10 October 2019
Worth,10 October 2019
Button is not working,10 October 2019
Pathetic product,10 October 2019
Good,10 October 2019
Good,10 October 2019
Using for 3 months. As of now no issue on the product. Good to use,10 October 2019
Good,10 October 2019
Work well. Great choice for working persons.,9 October 2019
I received a damaged piece which was broken very badly its top was all broken even my finger got pricked by glass,9 October 2019
Good,9 October 2019
Good,9 October 2019
Range of 1600 RS .. it's good,9 October 2019
got faulty in one month of use,9 October 2019
Worth buying as the product is really good,9 October 2019
GOOD PRODUCT,9 October 2019
Good product.,9 October 2019
Not at all good i bought last month and it is not working now. Even their service centre have no responsibility at all .,9 October 2019
Best for normal use... Or bachelor or students,9 October 2019
I would suggest not to buy this product because it did not  even last for 15 days and I had go through all the trouble of registering a complaint with the company itself and they still haven't replaced it.,9 October 2019
Good one...I am peaches may 2019. I working fine till now...,9 October 2019
Amazing induction Loved it,9 October 2019
No. 1,9 October 2019
Badhiya,9 October 2019
Decent and good value for money,9 October 2019
Very good product,8 October 2019
Difficult to clean,8 October 2019
I received my item full cracked I want replace my item tell me procedure,8 October 2019
Perfect.,8 October 2019
Good price product,8 October 2019
Good,8 October 2019
Compact design :: works on low voltage with different mode & timmer setting::,8 October 2019
Super one.. eco friendly,8 October 2019
Easy to use,8 October 2019
Gud,8 October 2019
Awesome product with reasonable price thanks AMAZON,7 October 2019
Good Product for Bachelor in less price ...,7 October 2019
The product is quite good for that price. Do not expect a rigid hardware. You have to take car of it yourself. I will it is the best in this range but you must try a better option if you aren't in short of money.,7 October 2019
Good product,7 October 2019
Nice...,7 October 2019
Easy to learn and easy to control temperatures,7 October 2019
Good,7 October 2019
It's very thin and lightweight,7 October 2019
Worst product,7 October 2019
ptoduct is too good but  was not warranty period papers is in the box,7 October 2019
Value for money,7 October 2019
Ok,7 October 2019
Waste of money In 1 month only it stopped working..,6 October 2019
Verry nice Very comftebal,6 October 2019
Very good product I was use 3 years,6 October 2019
Good for small family,6 October 2019
Nice good product,6 October 2019
Very good quality,6 October 2019
Product okay....user does not need to go through manual.... Easy to operate....slight difficulty with the timer thing but nice buy over all.,6 October 2019
Easy to use,5 October 2019
It's very goodI will recommend. Never spills..perfect temp controlBZ I had experience of one had poor temp control..,5 October 2019
Good product,5 October 2019
Heat has been completely off. All buttons and power are showing correctly. This issue comes after 11 months. Before it was running correct.Customer care no. Is invalid so now what I do.,5 October 2019
Best quality...,5 October 2019
I'm so happy nice product 👍,5 October 2019
Nice product,5 October 2019
it is good and i like it.it works nicely and cools down slowly and buttons are hard to press and it will be nice to use. thank you.,5 October 2019
Nice product,5 October 2019
Performance is too good. Easy to use. Happy using from last month.,5 October 2019
Working good,5 October 2019
It's very good product and easy to use. I gave 5 star to this product. And Thumpsup to this product....  Thanks Amazon for fast delivery on Dasara occasion.,5 October 2019
Not bad,5 October 2019
Awsome,5 October 2019
Genuine product,5 October 2019
Suprb,5 October 2019
Amazing Experience.........,5 October 2019
all things are ok. but i was faced much problems during delivery also i paid 80 rs delivery charges but Amazon not provides door step delivery,4 October 2019
Prestige induction cook top is easy to use and temperature control. It has many recipes to make comfortable for cooking. It saves time and easy to clean. This is best for bachelor and working people's.,4 October 2019
Poor quality,4 October 2019
🥞🌭🥪🥨🍕🥓🥚🍳🥞🥖🥐🍞🥩🍗🍖🌮🥙🌯🥘🍝🥗🍛🍲🍱🍤🍣🍜🥣🍙🍘🍡🥠🍨🍦🥧🥟🍫🍬🎂🍰🍮🍿☕,4 October 2019
"Perfect, please buy this, you won't regret..",3 October 2019
Good,3 October 2019
Using this product from more than 2 years no complaints and fault till this date. Go for it,3 October 2019
Not working after 20 days of purchage.But Service excellent but again not working after 2 days of repair.,3 October 2019
This is a very good product and useful,3 October 2019
It's been more than 3yrs m using this induction..  Oly once there was minor problem with heating but it was nt dt expensive evn to repair it..  I strongly recommend u can buy this product without 2nd thought,3 October 2019
Very nice,3 October 2019
Value for moneyAnd amazing delivery experience,3 October 2019
Seems Duplicate product... cracked from all the corners and joints... don't buy,2 October 2019
"Bakwaas product. I bought it before 1 year and i hardly used it. Its giving me E1 error. In manual nothing is mentioned about this error, and a local repair shop said it will cost 500-600 for repairs.Absolute rubbish quality. Even plastics used are flimsy and buttons feel like they'll break anytime.Do not buy this. I bout this for prestige brand name, i am disappointed.",2 October 2019
Cover with sealing,2 October 2019
Almost good,2 October 2019
Is is very useful. It works on very few electricity . Evey steel utencil can work on it. Like mug cooker patila etc. Without this I uses my gas cylinder in just half month but now I uses it in 3 months.,1 October 2019
All ok,1 October 2019
good product for boys,30 September 2019
Sooper product but heating capacity is only 1200...,30 September 2019
Superb,30 September 2019
Cooling Fan is making too much noise.Noise is very irritating.Planning to return.,30 September 2019
Good prodect,30 September 2019
Size are small .but good .,30 September 2019
"Good product, function very accurately upto now....Thanks Prestige, thanks AMAZON....",29 September 2019
Temperature control and timer both really good.,29 September 2019
"Very good for the price, ₹1600, but feels little plasticky and weak on back side and buttons may get damaged over the time.",29 September 2019
Started to break due to heat. Do not purchase this product.,29 September 2019
"The induction stove was lying with me for almost 3 years unused as we did not have any induction cookwares and never bothered to buy one either. But then I got a gift from someone and thought of experimenting.  Only then I realised that how useful and effective it is. The cooking temperatures are perfect, seldom you can get something burnt and most important you can cook comfortably under a fan or even an AC. Wow! I fried 50 pcs of perfect chicken pakoras sitting comfortably in AC, chatting with my friends and  having a drink or two. Another very important aspect is nothing will catch fire while cooking you can even place your glass of whiskey right beside the oven ;)",29 September 2019
Product opend before sell like as selled product,28 September 2019
I love it prestige it's very good.,28 September 2019
No heating,28 September 2019
Good looking,28 September 2019
I got a product which did not ON ie I could not switch On the induction cooker.What comment can I write about this product.,28 September 2019
Awesome products but now i am getting problem because of showing no power. I am going to nearest shop for repairing. I am using it from last 1.5 years.,27 September 2019
"delivered a broken product, no word to say anymore, should go to market",27 September 2019
Good,26 September 2019
Nice product working fine without any issues,26 September 2019
Very good product,25 September 2019
Good,25 September 2019
Totally damaged product .,25 September 2019
It's really worth the price. Go for it. The heating happens very fast..,24 September 2019
On / off button is not working.,24 September 2019
Nice working,24 September 2019
